,Links,brands,iphih1,sizedetails,sizedetail,ipiBoxi
0,https://diza.gallery/product-1001/mini_scarf_dogsandeyes_rosebari_diza#685327,"['', 'Rosebari']","['سایز های محصول', 'ناموجود!']",None,None,None
1,https://diza.gallery/product-1006/dogsandeyes_orange_Top_rosebari_diza#3672123,"['', 'Rosebari']","['سایز های محصول', 'ناموجود!']",None,None,"['اساس طراحی\u200cهای ""رزبری"" تصویرسازی و پارچه\u200cسازی است؛ پارچه\u200cهایی که توسط خود رزبری تولید و تصاویری که با الهام از فرهنگ عام جوانان، ایران و جهان خلق می\u200cشوند. تاپ سگ\u200cها"" انتخابی جالب برای استایلی متفاوت است. برش این تاپ به شما اجازه می\u200cدهد تا آن را در فصول گرم به صورت تک و در روزهای سردتر از روی لایه\u200cای دیگر بپوشید و بازیگوشی طرح\u200cهای رزبری را در استایل تمام سال خود داشته باشید.', 'جزئیات محصول\nاز پشت باز و دارای بند.\nدوخته شده از پارچه\u200cی ترکیب نخ و پلی\u200cاستر با چاپ دیجیتال.']"
2,https://diza.gallery/product-1007/shamsolemareh_bronze_earrings_SaraRazmi_diza#5762228,"['', 'Sara Razmi Designs']",['سایز های محصول'],None,None,"['گوشواره شمس العماره\u200c اکسسوری مناسب هر موقعیت\u200c و هر زمان. این گوشواره که ملهم از بنای شمس العماره و معماری ایرانی-اسلامی است، در عین طراحی کاربردی و معاصر، اصالت خود را نیز به نمایش می\u200cگذارد.', 'جزئیات محصول\nمربع برنز با روکش آب طلا\nسنگ مینا']"
3,https://diza.gallery/product-1009/triplet_necklace_sararazmi_diza#368811,"['', 'Sara Razmi Designs']",['سایز های محصول'],None,None,None
4,https://diza.gallery/product-1010/blue_monster_headpiece_rosebari_diza#3561115,"['', 'Rosebari']","['سایز های محصول', 'ناموجود!']",None,None,None
5,https://diza.gallery/product-1011/talaat_silver_earrings_elhamalirezaei_diza#3673114,"['', 'Elham Alirezaei']","['سایز های محصول', 'ناموجود!']",None,None,"['سنگ کریستال که قاب آب طلا شده ای آن را در بر گرفته در رکابی نقره ای، “طلعت” را پدید آورده. اثری اصیل و با هویت که به بازنمایی زیبایی شناسی سنتی ایرانی می پردازد.', 'جزئیات محصول\nدست ساز\nبدنه نقره با نگین سنگ کریستال']"
6,https://diza.gallery/product-1012/silver_dot_bracelet_elhamalirezaei_diza#3572224,"['', 'Elham Alirezaei']","['سایز های محصول', 'ناموجود!']",None,None,"['دستبند نقطه و سکه\u200cی الهام علیرضایی ساخته شده از نقره و تماماً کار دست است. بگذارید این دستبند که ردی از خاطرات دارد در دست شما بدرخشد.', 'جزئیات محصول\nکار دست.']"
7,https://diza.gallery/product-1013/silver_earrings_3crystal_elhamalirezaei_diza#357117,"['', 'Elham Alirezaei']",['سایز های محصول'],None,None,['گوشواره\u200cی سکه و کریستال الهام علیرضایی ساخته شده از نقره و تماماً کار دست است. بگذارید این گوشواره که ردی از خاطرات دارد در گوش شما بدرخشد.']
8,https://diza.gallery/product-1014/lionandsun_headpiece_rosebari_diza#357811965,"['', 'Rosebari']","['سایز های محصول', 'ناموجود!']",None,None,None
9,https://diza.gallery/product-1015/several_fabrics_blouse_ramakzaringhaba_diza#47832,"['', 'Ramak zarringhaba']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد از جلو : 81\nقد از عقب : 85\nاندازه سرشانه : 41\nفاصله بین دو زیر بغل : 57'],"['سایز : FREE', 'قد از جلو : 81', 'قد از عقب : 85', 'اندازه سرشانه : 41', 'فاصله بین دو زیر بغل : 57']","['پیراهن کارشده\u200cی ""رامک زرین\u200cقبا"" انتخابی برای افرادی است که می\u200cخواهند المان\u200cهای ایرانی را با کمی شیطنت در استایل خود داشته باشند. این پیراهن مناسب تمامی فصول است و در کنار لباس\u200cها و اکسسوری\u200cهای گوناگون، مخاطب را در موقعیت\u200cهای متفاوت همراهی خواهد کرد.', 'جزئیات محصول\nمناسب سایز 36 تا 42\nدوخته شده از پارچه\u200cی دنیم اسید-واش.\nسوزن\u200cدوزی\u200cهای روی کار از لباس\u200cهای قدیمی به\u200cیافت شده\u200cاند.\nپارچه\u200cی یقه و پایین کار با طرح اسکناس بیست تومانی.']"
