,url,brands,iphih1,sizedetails,sizedetail,ipiBoxi
0,https://diza.gallery/product-1905/tapestry_earrings_Dalnoon_Diza#3569052,"['', 'd.a.l.n.o.o.n']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['انتخاب گوشواره\u200cی درست ميتواند کامل كننده ی استایل شما در طول روز باشد. گوشواره\u200cهایی با رنگ\u200cهای درخشان و طراحی\u200c چشمگیر.', 'جزئیات محصول\nساخته شده از گچ و پاپیه ماشه', 'توضیحات محصول\nکالکشن “Living abstraction“ با اقتباس از سبک دادائیسم طراحی و عکاسی شده است و عمده ی گوشواره های این کالکشن با الهام از آثار سوفی تویبر آرپ ساخته شده اند.']"
1,https://diza.gallery/product-1905/tapestry_earrings_Dalnoon_Diza#6531325789,"['', 'd.a.l.n.o.o.n']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['انتخاب گوشواره\u200cی درست ميتواند کامل كننده ی استایل شما در طول روز باشد. گوشواره\u200cهایی با رنگ\u200cهای درخشان و طراحی\u200c چشمگیر.', 'جزئیات محصول\nساخته شده از گچ و پاپیه ماشه', 'توضیحات محصول\nکالکشن “Living abstraction“ با اقتباس از سبک دادائیسم طراحی و عکاسی شده است و عمده ی گوشواره های این کالکشن با الهام از آثار سوفی تویبر آرپ ساخته شده اند.']"
2,https://diza.gallery/product-1906/Fish_silver_Bracelet_MahsaKazemifar_Diza#457905321,"['', 'Mahsa Kazemifar']","['سایز های محصول', 'ناموجود!']",None,None,['این اثر با استفاده از فرم ها و بافت های ارگانیک و با نگاهی مدرن و شاعرانه ساخته شده و نزدیکی و یگانگی انسان و طبیعت را در قالب زیورآلات یادآور می\u200cشود.']
3,https://diza.gallery/product-1907/white_dress_RezaNadimi_Diza#70854261183,"['', 'Reza Nadimi']","['سایز های محصول', 'مشخصات سایز']",['سایز : S\nقد : 90cm\nسرشانه : 15cm\nآستین : 62cm\nعرض سینه : 42cm'],"['سایز : S', 'قد : 90cm', 'سرشانه : 15cm', 'آستین : 62cm', 'عرض سینه : 42cm']",None
4,https://diza.gallery/product-1908/Mini_skirt_Gownbad_Diza#35797411680,"['', 'GONBAD']","['سایز های محصول', 'مشخصات سایز']",['سایز : 1\nدورکمر : 40cm\nقد : 40cm\nمناسب سایز : 40'],"['سایز : 1', 'دورکمر : 40cm', 'قد : 40cm', 'مناسب سایز : 40']","['المانی اصیل و با هویت که از پارچه\u200cی قلمکار با\u200c چاپ دستی و ترکیب رنگی شگفت\u200cانگیز دوخته شده تا به سادگی در کنار دیگر عناصر استایلتان \u200cقرار بگیرد. پارچه\u200cهای نفیس و زیبایی\u200cشناسی سنتی ایران همراه هم شده و این اثر زیبا را پدید آورده\u200cاند.', 'جزئیات محصول\nپارچه\u200cی قلمکار با چاپ دستی.', 'توضیحات محصول\nگنبد سعی دارد با استفاده از دو المان سنتی -پارچه قلمکار و کلاه نمدی- هنر دستی قدیمی ایران را در قالبی مدرن ارائه کند.']"
5,https://diza.gallery/product-1909/pink_croptop_NtoZ_Diza#8631168904,"['', 'N to Z']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد از جلو : 24cm\nقد از پشت : 14cm\nفاصله بین دو زیر بغل : 34cm'],"['سایز : FREE', 'قد از جلو : 24cm', 'قد از پشت : 14cm', 'فاصله بین دو زیر بغل : 34cm']","['اثری که با\u200c تلفیق فرهنگ شرق و غرب طراحی و دوخته شده و سعی بر بازنمایی یک زن قدرتمند را دارد.', 'جزئیات محصول\nتمامی آثار فنر کشی شده و توسط بندهای پشت و سرشانه از سایز xs تا m متغییرند.\nکالا ها در غالب کاکشن ارائه نشده و carry over هستند.', 'نحوه مراقبت\nحتما خشکشویی شوند.']"
6,https://diza.gallery/product-1910/flowers_croptop_NtoZ_Diza#24689063,"['', 'N to Z']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['اثری که با\u200c تلفیق فرهنگ شرق و غرب طراحی و دوخته شده و سعی بر بازنمایی یک زن قدرتمند را دارد.', 'جزئیات محصول', '', '']"
7,https://diza.gallery/product-1910/flowers_croptop_NtoZ_Diza#3458975221,"['', 'N to Z']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['اثری که با\u200c تلفیق فرهنگ شرق و غرب طراحی و دوخته شده و سعی بر بازنمایی یک زن قدرتمند را دارد.', 'جزئیات محصول', '', '']"
8,https://diza.gallery/product-1910/flowers_croptop_NtoZ_Diza#3468042216,"['', 'N to Z']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['اثری که با\u200c تلفیق فرهنگ شرق و غرب طراحی و دوخته شده و سعی بر بازنمایی یک زن قدرتمند را دارد.', 'جزئیات محصول', '', '']"
9,https://diza.gallery/product-1910/flowers_croptop_NtoZ_Diza#742158084,"['', 'N to Z']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['اثری که با\u200c تلفیق فرهنگ شرق و غرب طراحی و دوخته شده و سعی بر بازنمایی یک زن قدرتمند را دارد.', 'جزئیات محصول', '', '']"
